As_of_Date,Company,Account,AU,Currency,Primary_Account,Secondary_Account,GL_Balance,Ihub_Balance,Balance_Difference,Match_Status,Comments,Balance_Difference_Scaled,Anomaly,Comment
2023-09-09,2,1642845,7566,USD,ALL OTHER LOANS,DEFERRED COSTS,72038.72409,70923.41517,1115.308922,Break,,-0.08354832609434291,No,
2023-09-09,0,1660793,60475,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,78314.71637,79605.11719,-1290.400819,Break,,-0.17422745250497343,No,
2023-09-09,2,1662496,48750,EUR,ALL OTHER LOANS,PRINCIPAL,64060.45009,64770.10599,-709.6558996,Break,,-0.1523372630689387,Yes," This real-time entity appears to be an anomaly due to a significant discrepancy in its GL_Balance compared to the previous day's balance (64770.10599 vs. 15985 for August 28). Additionally, the Balance_Difference is larger than the tolerance limit of 1 USD and the Match_Status shows a break, which are indicators of unusual activity. It's recommended to further investigate this case for potential financial anomalies."
2023-09-09,2,1666765,66894,EUR,ALL OTHER LOANS,PRINCIPAL,35854.28691,39284.05427,-3429.767358,Break,,-0.25486722609129736,No,
2023-09-09,0,1669440,5683,GBP,ALL OTHER LOANS,PRINCIPAL,29402.66104,10174.24667,19228.41437,Break,,0.5991942968479947,No,
2023-09-09,2,1613671,31573,USD,ALL OTHER LOANS,PRINCIPAL,33126.54709,69703.71646,-36577.16937,Break,,-1.5043020211554354,No,
2023-09-09,2,1690726,53693,GBP,ALL OTHER LOANS,PRINCIPAL,37268.39952,10025.7961,27242.60342,Break,,0.9012754870923172,No,
2023-09-09,0,1608015,63848,GBP,ALL OTHER LOANS,DEFERRED COSTS,74184.75946,79983.27575,-5798.516288,Break,,-0.3441531777577813,No,
2023-09-09,0,1691424,58144,USD,ALL OTHER LOANS,DEFERRED COSTS,57508.49551,58259.9141,-751.4185892,Break,,-0.1539114364386288,Yes," The real-time entity appears to be an anomaly due to a significant deviation in the GL_Balance compared to the previous day's balance. Specifically, there is a decrease of approximately $751.42, which is considerably larger than the typical daily fluctuations observed over the past few months (less than $1). This unexpected drop suggests potential unusual activity or errors that warrant further investigation."
2023-09-09,2,1626404,66434,EUR,ALL OTHER LOANS,PRINCIPAL,29285.32588,29440.13035,-154.8044711,Break,,-0.13142308461815178,Yes," The real-time entity's balance difference of -154.804471 EUR compared to its previous balance indicates a significant decrease that has not been observed in the recent historical trends. This sudden drop can be considered as an anomaly, as the account's primary balance has remained relatively stable or shown small differences within tolerance (less than 1 USD) in the past records. Further analysis and investigation are recommended to understand the cause of this deviation from the usual pattern."
2023-09-09,2,1699284,8645,EUR,ALL OTHER LOANS,PRINCIPAL,53375.88852,53128.66927,247.2192513,Break,,-0.11626948594318101,Yes," The real-time entity appears to be an anomaly based on its negative Balance_Difference compared to its historical records. In all previous instances, the Balance_Difference was either zero or within tolerance (less than 1 USD). However, in this case, it is -0.116269. This discrepancy suggests a significant deviation from usual patterns and may warrant further investigation."
2023-09-09,0,1608015,63848,GBP,ALL OTHER LOANS,DEFERRED COSTS,44804.17157,45204.07555,-399.9039723,Break,,-0.14066169236609175,Yes," This real-time entity (Account 1608015 with primary account GBP ALL OTHER LOANS and secondary account DEFERRED COSTS) appears to be an anomaly due to the significant mismatch in the GL_Balance (-399.90) compared to the previous record's GL_Balance (44804.17 or 45151), which shows a decrease of approximately 44,000 - 45,000 GBP. This sudden drop is not consistent with the historical trend where changes in the GL_Balance have been relatively small (less than 18,000 GBP). Furthermore, the Ihub_Balance (-0.14) also suggests an unusual movement compared to the previous record's Ihub_Balance (60000, 45151.56 or 46661). It is recommended to investigate this anomaly further."
2023-09-09,0,1688808,42040,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,63208.65918,10079.64452,53129.01467,Break,,1.877019617005751,No,
2023-09-09,0,1603703,36346,GBP,ALL OTHER LOANS,DEFERRED COSTS,16682.23754,80341.50286,-63659.26532,Break,,-2.5251154469239405,Yes," The real-time entity (Company ID: 1603703, Account: DEFERRED COSTS) appears to be an anomaly because its GL_Balance (-63659.27) is significantly lower than the previous observed balances in the historical records for this account. For instance, the average balance over the past few months has been around -28,140 (obtained by summing the historical balances and dividing by the number of observations), which is more than double the current value. This deviation from the observed trend suggests an unusual transaction or error that may warrant further investigation."
2023-09-09,2,1616179,30713,USD,ALL OTHER LOANS,DEFERRED COSTS,19452.46866,10108.05235,9344.416314,Break,,0.22663384456754235,No,
2023-09-09,0,1667042,23281,EUR,ALL OTHER LOANS,PRINCIPAL,80006.47156,0.0,80006.47156,Break,,2.8901195223631952,Yes," The real-time entity with ID '1667042' appears to be an anomaly due to the significantly larger balance increase (2.89012 EUR) compared to the historical trend. In the past 3 months, the maximum increase was only 0.2256 EUR, and the average increase was around -0.1256 EUR. This sudden and substantial change in balance warrants further investigation for potential financial anomalies."
2023-09-09,0,1676108,37663,USD,ALL OTHER LOANS,DEFERRED COSTS,33533.80549,60887.82996,-27354.02446,Break,,-1.156651301310155,No,
2023-09-09,2,1649698,11993,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,75341.84446,50035.45225,25306.39221,Break,,0.8282933072071048,No,
